# {'date': '2015-03-13 09_58_49.979000', 'exp_name': 'capd', 'session': '6', 'participant': '9'}
timestamp	event	value
17.1199049204	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
17.1199555359	flip	17.1198993887
1029.1600812	keypress	1
1029.15213616	flip	1029.15213423
1029.29907581	flip	1029.29906779
1029.82853593	flip	1029.82853372
1033.97997952	flip	1033.97997233
1034.17979598	flip	1034.17979377
1034.29647368	flip	1034.29647147
1034.41316964	flip	1034.41316798
1034.54529362	flip	1034.54529141
1034.66191656	flip	1034.66191435
1034.77879009	flip	1034.77877626
1034.87861838	flip	1034.87861645
1034.99529664	flip	1034.99529442
1035.09528839	flip	1035.09528674
1035.19525775	flip	1035.19525609
1035.29530759	flip	1035.29530565
1035.39527197	flip	1035.39527031
1035.49525377	flip	1035.49525183
1035.61192345	flip	1035.61192151
1035.72875936	flip	1035.72875051
1035.82878928	flip	1035.82877988
1035.92875587	flip	1035.9287473
1036.07861766	flip	1036.07861573
1036.1953009	flip	1036.19529841
1036.31193932	flip	1036.31193711
1036.4119344	flip	1036.41193274
1036.51193971	flip	1036.51193805
1036.62876954	flip	1036.62876124
1036.77861279	flip	1036.77861086
1036.89527445	flip	1036.89527252
1036.99528198	flip	1036.99528032
1037.0952895	flip	1037.09528756
1037.19527711	flip	1037.19527545
1037.31194707	flip	1037.31194486
1037.42861675	flip	1037.42861481
1037.5287775	flip	1037.5287692
1037.62877507	flip	1037.62876677
1037.79529957	flip	1037.79529763
1037.89529216	flip	1037.8952905
1037.99529332	flip	1037.99529138
1038.09530222	flip	1038.09530056
1038.19529426	flip	1038.1952926
1038.29529182	flip	1038.29528989
1038.39529769	flip	1038.39529575
1038.52882701	flip	1038.52881678
1038.62884781	flip	1038.6288373
1038.74533743	flip	1038.7453355
1038.84531149	flip	1038.84530983
1038.94530795	flip	1038.94530601
1039.04531215	flip	1039.04531049
1039.1453017	flip	1039.14529976
1039.27866811	flip	1039.27866562
1039.39531124	flip	1039.3953093
1039.51198756	flip	1039.5119859
1039.6286625	flip	1039.62866084
1039.72881302	flip	1039.72880472
1039.82864435	flip	1039.82864269
1039.94533837	flip	1039.94533533
1040.06198814	flip	1040.0619862
1040.21199016	flip	1040.21198822
1040.34532864	flip	1040.3453267
1040.49532291	flip	1040.49532125
1040.62871698	flip	1040.62871201
1040.7288285	flip	1040.72881965
1040.8620345	flip	1040.86203256
1041.01201301	flip	1041.01201135
1041.11195	flip	1041.11194806
1041.2454572	flip	1041.24545194
1041.39534277	flip	1041.39534084
1041.5453813	flip	1041.54537936
1041.77869134	flip	1041.77868941
1041.89534803	flip	1041.89534609
1042.01202213	flip	1042.01201992
1042.12868545	flip	1042.12868379
1042.22883072	flip	1042.22882491
1042.32868252	flip	1042.32868086
1042.44534722	flip	1042.44534557
1042.57869621	flip	1042.57869455
1042.71205682	flip	1042.71205488
1042.84551119	flip	1042.84550482
1042.9620564	flip	1042.96205474
1043.06197929	flip	1043.06197735
1043.2288498	flip	1043.2288415
1043.34541272	flip	1043.3454094
