"variable","level","emmean","SE","df","lower.CL","upper.CL"
"ldiff","listening
difficulty",0.506016609565334,0.0204192636334886,22.0072435182639,0.463670456760898,0.54836276236977
"ldiff","control",0.488748787214817,0.020419248531646,22.0069874903634,0.446402637175334,0.5310949372543
"attn","switch",0.506771779641652,0.0145303954000751,22.5720619248427,0.476681802147917,0.536861757135387
"attn","maintain",0.487993617138498,0.0145158153633148,22.4817058218944,0.457927012764239,0.518060221512758
"space","mixed",0.48711008664974,0.0145996252779067,23.0053837855379,0.456908851797088,0.517311321502392
"space","non-
spatial",0.514211307954707,0.0146085672160852,23.0617941651681,0.483995664232152,0.544426951677263
"space","spatial",0.490826700565779,0.0146111540274389,23.0781211985196,0.460606886098684,0.521046515032874
"slot","1",0.565878954182586,0.0147202978674346,23.7750065628246,0.535482530594776,0.596275377770395
"slot","2",0.430995233499028,0.0146607197223073,23.3929020701761,0.400695385374377,0.461295081623679
"slot","3",0.559449311241693,0.0147355490602506,23.873535314358,0.529028104996743,0.589870517486643
"slot","4",0.433207294636995,0.0146477843421554,23.3105539538,0.402928366060984,0.463486223213005
