"variable","level","token","prob","SE","df","asymp.LCL","asymp.UCL"
"ldiff","listening
difficulty","neither",0.0675214609661914,0.004244039728593,Inf,0.0595921950183499,0.0762423904650277
"ldiff","control","neither",0.0515232968813311,0.00356324178442994,Inf,0.0449073756169322,0.0588918831577655
"ldiff","listening
difficulty","target",0.839141549033639,0.00828862589908176,Inf,0.822361216525929,0.854851590189158
"ldiff","control","target",0.853696221586609,0.00786281924319359,Inf,0.837739508104311,0.868563676863319
"ldiff","listening
difficulty","foil",0.0603965861980286,0.00473572650603802,Inf,0.0516596430077686,0.0702494764859766
"ldiff","control","foil",0.0347961475672559,0.00336935381119679,Inf,0.0286883551602502,0.0419331605138853
"attn","switch","neither",0.064592366145809,0.00343957647403226,Inf,0.05811996100189,0.0716112017990249
"attn","maintain","neither",0.0539786068825283,0.00308991782840318,Inf,0.0481865194793726,0.0603085310267747
"attn","switch","target",0.813465371985443,0.00752393320706383,Inf,0.79835948834502,0.827849694340151
"attn","maintain","target",0.875465882719195,0.00612111018348125,Inf,0.863062675913689,0.887061465137437
"attn","switch","foil",0.053779519533716,0.0039206165695633,Inf,0.0465198752843236,0.0619085237691279
"attn","maintain","foil",0.0394805544018608,0.00334669293308529,Inf,0.0333509373051251,0.0464967055175936
"space","mixed","neither",0.0505808341606551,0.00338384706413143,Inf,0.0442873716990985,0.057566939990387
"space","non-
spatial","neither",0.0650478774062264,0.00390254661094237,Inf,0.0577420016508368,0.07305166198036
"space","spatial","neither",0.0624927611530783,0.00381737002379637,Inf,0.0553537296503118,0.0703300331031933
"space","mixed","target",0.864803003529892,0.00733950352175377,Inf,0.84989123326708,0.878666056628296
"space","non-
spatial","target",0.840962658291239,0.007952195720796,Inf,0.824876636564772,0.856048594408304
"space","spatial","target",0.832590759947038,0.00816281343254839,Inf,0.8161004408763,0.848096555769046
"space","mixed","foil",0.0311487173468258,0.00343359046490389,Inf,0.0249951208378604,0.038505530111153
"space","non-
spatial","foil",0.0535248669372901,0.00453926692793964,Inf,0.045197965394513,0.0630231562611615
"space","spatial","foil",0.0578313178146443,0.00485635644670839,Inf,0.0489128335170124,0.0679810166784182
