"grouping","group1","group2","variable","contrast","estimate","SE","df","t.ratio","p.value","signif"
"space_slot","mixed","1","ldiff","ldiff - ctrl",0.0324947848647662,0.0307953996205578,28.4614596764657,1.05518308790102,0.300216886451577,""
"space_slot","non-
spatial","1","ldiff","ldiff - ctrl",0.0297173125679593,0.0308647255200117,28.7182997789758,0.962824456309891,0.343673327118304,""
"space_slot","spatial","1","ldiff","ldiff - ctrl",0.0166867426013716,0.0308630955474688,28.712284806105,0.540669764499374,0.592905231048686,""
"space_slot","mixed","2","ldiff","ldiff - ctrl",0.0156882155099347,0.0304821298691129,27.3218118342405,0.514669269414514,0.610922805255524,""
"space_slot","non-
spatial","2","ldiff","ldiff - ctrl",0.00209712195231622,0.0305136492683534,27.4348784284036,0.068727340144504,0.945705136341775,""
"space_slot","spatial","2","ldiff","ldiff - ctrl",0.000438416072779013,0.0305420345586508,27.5371181106547,0.0143545143312935,0.988650645430579,""
"space_slot","mixed","3","ldiff","ldiff - ctrl",0.0175884606663077,0.0308067313442475,28.5031320615869,0.570929141094742,0.572521984976407,""
"space_slot","non-
spatial","3","ldiff","ldiff - ctrl",0.00893829023185398,0.0309789091768071,29.1454733489409,0.288528242903588,0.774984550064679,""
"space_slot","spatial","3","ldiff","ldiff - ctrl",0.00628414527094344,0.0309887767646013,29.1822138799926,0.202787780836895,0.840708183560815,""
"space_slot","mixed","4","ldiff","ldiff - ctrl",0.0245940422390714,0.0304263103779367,27.1223859522409,0.808314972587194,0.425942751504073,""
"space_slot","non-
spatial","4","ldiff","ldiff - ctrl",0.0243148458246801,0.030426176543598,27.1219369894383,0.799142336857184,0.43115111778506,""
"space_slot","spatial","4","ldiff","ldiff - ctrl",0.0283714904042214,0.0304713505930393,27.2832449931924,0.93108739363533,0.359974610258396,""
"attn_slot","switch","1","ldiff","ldiff - ctrl",0.020606661747118,0.0301943515076136,26.3041006550536,0.682467439048059,0.500909901995508,""
"attn_slot","maintain","1","ldiff","ldiff - ctrl",0.0319925649422801,0.0301063421706598,25.9991982718473,1.062652007372,0.297711041490285,""
"attn_slot","switch","2","ldiff","ldiff - ctrl",0.000160895647037527,0.0299778566831846,25.5583586349725,0.00536714978452005,0.995759328560738,""
"attn_slot","maintain","2","ldiff","ldiff - ctrl",0.0119882733763157,0.0298715200259232,25.1982017805899,0.401327865669776,0.691561993484723,""
"attn_slot","switch","3","ldiff","ldiff - ctrl",0.0150617925394372,0.0303055569799123,26.6936371915559,0.496997713964497,0.623259448307335,""
"attn_slot","maintain","3","ldiff","ldiff - ctrl",0.0068121382399662,0.0301091701466146,26.0087291567993,0.226247957243422,0.822777226591034,""
"attn_slot","switch","4","ldiff","ldiff - ctrl",0.0503232867801127,0.0298963538329058,25.2819646613527,1.68325833515938,0.104635388150579,""
"attn_slot","maintain","4","ldiff","ldiff - ctrl",0.00119696553186919,0.0298525780270355,25.1343631167418,0.0400958848775197,0.968333483489314,""
"space_slot","mixed","1","attn","switch - maintain",0.00972715639759397,0.011137528251848,7705.33089656962,0.873367607034348,0.382489957968065,""
"space_slot","non-
spatial","1","attn","switch - maintain",-0.0036787712926808,0.0113171481168018,7705.23654467144,-0.325061689987001,0.745143208062326,""
"space_slot","spatial","1","attn","switch - maintain",-0.0145263927020517,0.011315748817613,7705.27620424885,-1.28373233943133,0.199274227104239,""
"space_slot","mixed","2","attn","switch - maintain",0.0175508264933369,0.0102569147234368,7705.29153787303,1.71112142067767,0.0870989483706229,""
"space_slot","non-
spatial","2","attn","switch - maintain",-0.00560759127390547,0.0103446522485575,7705.1910013872,-0.542076344295425,0.587781589686024,""
"space_slot","spatial","2","attn","switch - maintain",-0.00377533344495667,0.0104324363257061,7705.27225418923,-0.361884158895275,0.717448521636558,""
"space_slot","mixed","3","attn","switch - maintain",0.0467397717796826,0.0111577922178367,7705.1877388149,4.18898029889505,2.83335764211742e-05,"***"
"space_slot","non-
spatial","3","attn","switch - maintain",0.0467338370100352,0.0116263496074614,7705.1681107894,4.01964834947358,5.88405147428965e-05,"***"
"space_slot","spatial","3","attn","switch - maintain",0.029836667377379,0.0116399371117216,7705.20414865089,2.56330142431207,0.0103870101204304,"*"
"space_slot","mixed","4","attn","switch - maintain",0.0356978638174405,0.010088287560717,7705.06342016432,3.53854542731765,0.000404708334634842,"***"
"space_slot","non-
spatial","4","attn","switch - maintain",0.0431373246930159,0.0100891211811096,7705.05556655396,4.27562757138693,1.92898424937724e-05,"***"
"space_slot","spatial","4","attn","switch - maintain",0.0235025911829557,0.010223552034594,7705.14522041986,2.29886746831518,0.0215390984327787,"*"
"attn_space","switch","mixed","ldiff","ldiff - ctrl",0.0190756563152422,0.0297119819417564,24.6640067942257,0.642018979165904,0.526783645375398,""
"attn_space","maintain","mixed","ldiff","ldiff - ctrl",0.0261070953247978,0.0296545671962896,24.4740469394446,0.880373507122516,0.387220550671099,""
"attn_space","switch","non-
spatial","ldiff","ldiff - ctrl",0.0287268016619901,0.029759863746155,24.8233235335346,0.965286733401179,0.343711830629195,""
"attn_space","maintain","non-
spatial","ldiff","ldiff - ctrl",0.00380698362641465,0.029676180319703,24.5455289869655,0.128284151983234,0.898969411428267,""
"attn_space","switch","spatial","ldiff","ldiff - ctrl",0.0168120195580467,0.0297795334611824,24.8890460084867,0.564549460788604,0.577433301728204,""
"attn_space","maintain","spatial","ldiff","ldiff - ctrl",0.00907837761661099,0.0296771310321764,24.5485768579786,0.305904826405493,0.762256294445202,""
