"grouping","group","variable","level","emmean","SE","df","lower.CL","upper.CL"
"space","mixed","ldiff","listening
difficulty",0.49840577455975,0.0206476437312817,23.008407793607,0.455693732866712,0.541117816252788
"space","mixed","ldiff","control",0.47581439873973,0.0206463323950583,23.0023599869548,0.433104448573084,0.518524348906376
"space","non-spatial","ldiff","listening
difficulty",0.522344754276808,0.0206623292528513,23.0739320769133,0.479609046617299,0.565080461936318
"space","non-spatial","ldiff","control",0.506077861632606,0.0206569381631034,23.0496594820556,0.46335082300265,0.548804900262563
"space","spatial","ldiff","listening
difficulty",0.497299299859443,0.020667041027184,23.0949607123495,0.454555993184733,0.540042606534154
"space","spatial","ldiff","control",0.484354101272114,0.0206595426676117,23.0612878615667,0.441622865025422,0.527085337518807
"attn","switch","ldiff","listening
difficulty",0.517540859230865,0.0205503280761497,22.5776939225676,0.474985224150573,0.560096494311158
"attn","switch","ldiff","control",0.496002700052439,0.0205478363311739,22.566430660909,0.453451026598639,0.538554373506239
"attn","maintain","ldiff","listening
difficulty",0.494492359899802,0.0205289605065451,22.4839691075686,0.451970972224591,0.537013747575014
"attn","maintain","ldiff","control",0.481494874377195,0.0205279653928025,22.4794426569441,0.438975062689451,0.524014686064938
"space","mixed","attn","switch",0.500824538960747,0.0148559909708782,24.6640067942257,0.470206904302287,0.531442173619207
"space","mixed","attn","maintain",0.473395634338733,0.0148272835981448,24.4740469394446,0.442824961810394,0.503966306867073
"space","non-spatial","attn","switch",0.524284407846765,0.0148799318730775,24.8233235335346,0.49362755093095,0.554941264762581
"space","non-spatial","attn","maintain",0.504138208062649,0.0148380901598515,24.5455289869655,0.473549873219811,0.534726542905488
"space","spatial","attn","switch",0.495206392117445,0.0148897667305912,24.8890460084867,0.464533410160253,0.525879374074637
"space","spatial","attn","maintain",0.486447009014113,0.0148385655160882,24.5485768579786,0.455857890540487,0.517036127487739
"slot","1","ldiff","listening
difficulty",0.579028760854935,0.0208256098875852,23.8116644972178,0.536028817071687,0.622028704638184
"slot","1","ldiff","control",0.552729147510236,0.0208096768363691,23.7383771080941,0.509755022611456,0.595703272409017
"slot","2","ldiff","listening
difficulty",0.434032525754866,0.0207303864508577,23.3794485545481,0.391186934153152,0.476878117356581
"slot","2","ldiff","control",0.42795794124319,0.0207363904453569,23.4063593982725,0.385102620578662,0.470813261907717
"slot","3","ldiff","listening
difficulty",0.564917793936544,0.0208339276417699,23.8498716314604,0.5219043526806,0.607931235192488
"slot","3","ldiff","control",0.553980828546842,0.0208444976779415,23.8972102303825,0.510950105159738,0.597011551933946
"slot","4","ldiff","listening
difficulty",0.44608735771499,0.0207243705082869,23.3523061483356,0.403251491800393,0.488923223629587
"slot","4","ldiff","control",0.420327231558999,0.0207058158876297,23.2688389654098,0.377521354893384,0.463133108224614
"slot","1","attn","switch",0.564465952916396,0.0150971757538068,26.3041006550536,0.533450715531995,0.595481190300797
"slot","1","attn","maintain",0.567291955448776,0.0150531710853299,25.9991982718473,0.536349672699327,0.598234238198224
"slot","2","attn","switch",0.432356550461441,0.0149889283415923,25.5583586349725,0.40152043485123,0.463192666071651
"slot","2","attn","maintain",0.429633916536616,0.0149357600129616,25.1982017805899,0.398885406830096,0.460382426243135
"slot","3","attn","switch",0.580001023936209,0.0151527784899561,26.693637191556,0.548893385624075,0.611108662248344
"slot","3","attn","maintain",0.538897598547177,0.0150545850733073,26.0087291567993,0.507952961216365,0.569842235877988
"slot","4","attn","switch",0.450263591252563,0.0149481769164529,25.2819646613527,0.419494645230542,0.481032537274584
"slot","4","attn","maintain",0.416150998021426,0.0149262890135178,25.1343631167418,0.385418060989703,0.446883935053148
"slot","1","space","mixed",0.564858588578543,0.0153976998102789,28.4614596764658,0.533340853043149,0.596376324113936
"slot","1","space","non-
spatial",0.575533361949292,0.0154323627600058,28.7182997789758,0.543957182611835,0.60710954128675
"slot","1","space","spatial",0.557244912019923,0.0154315477737344,28.712284806105,0.525670109977248,0.588819714062597
"slot","2","space","mixed",0.421855477850715,0.0152410649345565,27.3218118342404,0.390600621674715,0.453110334026714
"slot","2","space","non-
spatial",0.43908428077942,0.0152568246341767,27.4348784284036,0.407803064429124,0.470365497129716
"slot","2","space","spatial",0.432045941866949,0.0152710172793254,27.5371181106547,0.400740974905817,0.463350908828082
"slot","3","space","mixed",0.544263476236743,0.0154033656721237,28.5031320615869,0.512736184764454,0.575790767709033
"slot","3","space","non-
spatial",0.57918928215298,0.0154894545884035,29.1454733489408,0.547516657354738,0.610861906951223
"slot","3","space","spatial",0.554895175335355,0.0154943883823006,29.1822138799926,0.523214185542059,0.586576165128652
"slot","4","space","mixed",0.417462803932959,0.0152131551889684,27.1223859522409,0.386254577163642,0.448671030702277
"slot","4","space","non-
spatial",0.463038306937136,0.015213088271799,27.1219369894383,0.431830193382826,0.494246420491446
"slot","4","space","spatial",0.419120773040888,0.0152356752965197,27.2832449931924,0.387874928088623,0.450366617993153
