"grouping","group","variable","contrast","estimate","SE","df","t.ratio","p.value","signif"
"space","mixed","ldiff","ldiff - ctrl",0.02259137582002,0.0291992505558134,23.0053837855379,0.773697111740498,0.44698809203803,""
"space","non-
spatial","ldiff","ldiff - ctrl",0.0162668926442024,0.0292171344321703,23.0617941651681,0.556758660982553,0.583055544354633,""
"space","spatial","ldiff","ldiff - ctrl",0.0129451985873289,0.0292223080548778,23.0781211985196,0.442990285470215,0.661897453224086,""
"attn","switch","ldiff","ldiff - ctrl",0.0215381591784264,0.0290607908001502,22.5720619248427,0.741141537632039,0.466248862459301,""
"attn","maintain","ldiff","ldiff - ctrl",0.0129974855226078,0.0290316307266297,22.4817058218944,0.44770084205727,0.658653371371766,""
"space","mixed","attn","switch - maintain",0.0274289046220135,0.00533866839502927,7705.45160552737,5.13778017146598,2.84824132937884e-07,"***"
"space","non-
spatial","attn","switch - maintain",0.0201461997841162,0.00543338199017038,7705.29467874658,3.7078563260531,0.000210488717503557,"***"
"space","spatial","attn","switch - maintain",0.00875938310333156,0.00546196591706225,7705.41233525295,1.60370519266126,0.108820035546624,""
"slot","1","ldiff","ldiff - ctrl",0.026299613344699,0.0294405957348692,23.7750065628246,0.893311180980959,0.380644213339382,""
"slot","2","ldiff","ldiff - ctrl",0.00607458451167664,0.0293214394446145,23.3929020701762,0.207172111149283,0.837668277181882,""
"slot","3","ldiff","ldiff - ctrl",0.0109369653897017,0.0294710981205012,23.873535314358,0.37110817333588,0.713829919796956,""
"slot","4","ldiff","ldiff - ctrl",0.0257601261559909,0.0292955686843107,23.3105539538,0.879318180629373,0.388203701895223,""
"slot","1","attn","switch - maintain",-0.00282600253237951,0.00650358929415808,7705.55273608274,-0.434529673470924,0.663916019104792,""
"slot","2","attn","switch - maintain",0.00272263392482492,0.00597854404384121,7705.67069679828,0.455400830847711,0.648833728886878,""
"slot","3","attn","switch - maintain",0.0411034253890323,0.00662939144733795,7705.36355667715,6.200180773084,5.93047682340914e-10,"***"
"slot","4","attn","switch - maintain",0.0341125932311374,0.00585267880069497,7705.20659567588,5.82854354267429,5.81664974220301e-09,"***"
"slot","1","space","non-spatial - mixed",0.0106747733707496,0.00793610704141465,7705.11667159609,1.3450893889212,0.37022482491035,""
"slot","1","space","spatial - mixed",-0.00761367655862014,0.00793538886190052,7705.12075526097,-0.959458533302005,0.602587597030563,""
"slot","1","space","spatial - non-spatial",-0.0182884499293698,0.00800013902219235,7705.15429085031,-2.28601651529276,0.0578187453613138,""
"slot","2","space","non-spatial - mixed",0.0172288029287056,0.00728030141379921,7705.03393011831,2.36649582887459,0.0472408024564073,"*"
"slot","2","space","spatial - mixed",0.0101904640162348,0.00731088082830214,7705.03853701462,1.39387636805474,0.344130706242311,""
"slot","2","space","spatial - non-spatial",-0.00703833891247084,0.00734248519662676,7705.03431792804,-0.958577201586235,0.603147237808028,""
"slot","3","space","non-spatial - mixed",0.0349258059162373,0.00805647080924233,7705.14951618787,4.33512473925563,4.38531063683412e-05,"***"
"slot","3","space","spatial - mixed",0.0106316990986122,0.00806166739697508,7705.18273315623,1.31879654357875,0.384689545999752,""
"slot","3","space","spatial - non-spatial",-0.0242941068176251,0.00822581232266723,7705.19104566171,-2.95339911301887,0.00884855096635773,"**"
"slot","4","space","non-spatial - mixed",0.0455755030041766,0.00713302102635752,7705.02017271083,6.38936894140207,5.47021761221345e-10,"***"
"slot","4","space","spatial - mixed",0.00165796910792861,0.00717997210450712,7705.02771411071,0.230915814685107,0.971033220750264,""
"slot","4","space","spatial - non-spatial",-0.043917533896248,0.00718063913157452,7705.04335529868,-6.11610374668948,3.03866343198678e-09,"***"
