subj	lisdiff	group	trial	trial_id	lr	mf	attn	s_cond	presses	trial_onset	slot_codes	h	m	f	c
1	True	listening difficulty	30	[1, 0, 0, 0]	LR	MM	switch	spatial	[]	1596.24151025	['f', '-', '-', 'f']	0	0	0	2
1	True	listening difficulty	142	[0, 0, 2, 0]	LR	MF	maintain	mixed	[1604.64730106, 1606.10822138]	1602.74164606	['-', 't', '-', 't']	2	0	0	0
1	True	listening difficulty	155	[1, 0, 2, 0]	LR	MF	switch	mixed	[1611.11563307]	1609.22121971	['-', 't', '-', 'f']	1	0	0	1
1	True	listening difficulty	207	[0, 2, 2, 0]	LL	MF	maintain	non-spatial	[1619.11540944]	1615.70126467	['-', 'f', '-', 't']	1	0	0	1
1	True	listening difficulty	223	[1, 2, 2, 0]	LL	MF	switch	non-spatial	[]	1622.18156825	['f', '-', '-', 'f']	0	0	0	2
1	True	listening difficulty	213	[1, 2, 2, 0]	LL	MF	switch	non-spatial	[1631.87491003]	1628.66152359	['f', '-', 't', '-']	1	0	0	1
1	True	listening difficulty	18	[1, 0, 0, 0]	LR	MM	switch	spatial	[1638.56745698]	1635.14103391	['f', '-', 't', '-']	0	1	1	1
1	True	listening difficulty	22	[1, 0, 0, 0]	LR	MM	switch	spatial	[1643.4488874]	1641.62112617	['t', '-', 'f', '-']	1	0	0	1
1	True	listening difficulty	211	[1, 2, 2, 0]	LL	MF	switch	non-spatial	[1649.82457581, 1651.92459501]	1648.10165378	['t', '-', 't', '-']	1	1	1	0
1	True	listening difficulty	135	[0, 0, 2, 0]	LR	MF	maintain	mixed	[]	1654.58110601	['-', 'f', 'f', '-']	0	0	0	2
1	True	listening difficulty	218	[1, 2, 2, 0]	LL	MF	switch	non-spatial	[1662.63176293]	1661.06078422	['t', '-', '-', 'f']	1	0	0	1
1	True	listening difficulty	5	[0, 0, 0, 0]	LR	MM	maintain	spatial	[]	1667.5411716	['-', 'f', 'f', '-']	0	0	0	2
1	True	listening difficulty	141	[0, 0, 2, 0]	LR	MF	maintain	mixed	[]	1674.02126662	['f', '-', '-', 'f']	0	0	0	2
1	True	listening difficulty	192	[0, 2, 2, 0]	LL	MF	maintain	non-spatial	[]	1680.50091496	['f', '-', 'f', '-']	0	0	0	2
1	True	listening difficulty	17	[1, 0, 0, 0]	LR	MM	switch	spatial	[1690.12614964]	1686.98149484	['-', 'f', 't', '-']	1	0	0	1
1	True	listening difficulty	140	[0, 0, 2, 0]	LR	MF	maintain	mixed	[]	1693.46013086	['-', 'f', '-', 'f']	0	0	0	2
1	True	listening difficulty	0	[0, 0, 0, 0]	LR	MM	maintain	spatial	[]	1699.94030775	['t', '-', 'f', '-']	0	1	0	1
1	True	listening difficulty	216	[1, 2, 2, 0]	LL	MF	switch	non-spatial	[1709.75458425]	1706.42052614	['-', 'f', '-', 't']	1	0	0	1
1	True	listening difficulty	154	[1, 0, 2, 0]	LR	MF	switch	mixed	[]	1712.90017779	['-', 'f', '-', 'f']	0	0	0	2
1	True	listening difficulty	26	[1, 0, 0, 0]	LR	MM	switch	spatial	[1721.09595196]	1719.37084004	['t', '-', '-', 'f']	1	0	0	1
